job_name,job_area,job_salary,com_name,com_type,com_size,finance_stage,work_year,education,job_benefits
射频通信工程师,石家庄·石家庄·新石北路,6-10K,宇讯电子,电子/半导体/集成电路,100-499人,未融资,经验不限,本科,节日福利、 餐补、 定期体检、 加班补助、 五险一金、 员工旅游、 年终奖
软件开发工程师（C#/JAVA）,石家庄·石家庄·中山西路,6-11K,锦泽软件,计算机软件,20-99人,未融资,3-5年,大专,
售前工程师,石家庄·石家庄·勒泰中心,7-11K,中建材信息,移动互联网,1000-9999人,已上市,1-3年,大专,补充医疗保险、 五险一金、 带薪年假、 定期体检、 员工旅游、 通讯补贴、 交通补助
技术实施顾问,石家庄·石家庄·红楼,4-6K,裕华恒越,企业服务,20-99人,不需要融资,1-3年,大专,有无线网、 底薪加提成、 员工旅游、 保底工资、 节日福利、 五险一金、 加班补助、 带薪年假、 通讯补贴、 团建聚餐、 绩效奖金
php后台开发工程师,石家庄·石家庄·维明,5-7K,纪元之星科技,互联网,0-20人,未融资,3-5年,大专,绩效奖金、 节日福利、 员工旅游、 年终奖、 生日福利、 带薪年假、 全勤奖、 工龄奖、 五险一金
php开发工程师,石家庄·石家庄·维明,8-13K,龙环汇丰信息咨询,互联网金融,1000-9999人,不需要融资,3-5年,本科,补充医疗保险、 带薪年假、 全勤奖、 年终奖、 节日福利、 员工旅游
Java工程师,石家庄·石家庄·西三庄,6-8K,燕商科技,计算机软件,0-20人,未融资,3-5年,大专,全勤奖、 员工旅游、 节日福利、 零食下午茶、 五险一金
项目专员,石家庄·石家庄·开发区,3-6K,新格环保,环保,0-20人,未融资,1-3年,大专,
技术经理,石家庄·石家庄·,8-10K,永庆门业,建材,100-499人,不需要融资,3-5年,大专,交通补助、 餐补、 通讯补贴、 五险
H5开发工程师,石家庄·石家庄·新火车站,4-8K,亿尔德,学术/科研,20-99人,不需要融资,3-5年,本科,交通补助、 节日福利、 餐补、 带薪年假
嵌入式开发工程师,石家庄·石家庄·开发区,10-15K,中润星承,其他服务业,20-99人,未融资,5-10年,大专,年终奖、 加班补助、 绩效奖金、 定期体检
JAVA开发工程师,石家庄·石家庄·乐汇城,9-14K·13薪,承莱福,其他服务业,1000-9999人,未融资,3-5年,本科,加班补助、 年终奖、 带薪年假、 员工旅游、 交通补助、 节日福利、 餐补、 五险
中级网络工程师,石家庄·石家庄·休门,5-7K·14薪,北京中科联通科技...,通信/网络设备,20-99人,未融资,1-3年,大专,团建聚餐、 员工旅游、 工龄奖、 法定节假日三薪、 五险一金、 加班补助、 保底工资、 节假日加班费、 年终奖、 绩效奖金
区域项目经理(河北),石家庄·石家庄·怀特,8-13K,朝歌科技,通信/网络设备,500-999人,不需要融资,3-5年,大专,五险一金、 员工旅游、 加班补助、 餐补、 定期体检、 带薪年假、 年终奖、 股票期权
低压电气设计,石家庄·石家庄·大学城,5-8K·13薪,易达新,电子/半导体/集成电路,100-499人,不需要融资,3-5年,大专,
中级java开发工程师,石家庄·石家庄·万象天成,6-8K,北京北腾,互联网,100-499人,,3-5年,本科,年终奖、 团建聚餐、 节日福利、 带薪年假、 零食下午茶、 五险一金
数据开发,石家庄·石家庄·东风,4-9K,融和科技,计算机软件,100-499人,A轮,1-3年,本科,五险一金、 加班补助、 出差补助、 股票期权、 带薪年假、 交通补助、 年终奖、 通讯补贴、 节日福利、 生日福利
测试工程师,石家庄·石家庄·河北省园博园,8-13K,同福集团股份有限公司,批发/零售,1000-9999人,不需要融资,3-5年,大专,
.net软件工程师,石家庄·石家庄·红旗,8-13K·13薪,华如科技,计算机软件,1000-9999人,已上市,3-5年,本科,带薪年假、 年终奖、 节日福利、 意外险、 包吃、 定期体检、 五险一金
科技项目申报专员,石家庄·石家庄·天山海世界,4-8K,绿谷信息,计算机软件,20-99人,不需要融资,1-3年,大专,五险一金、 五险一金、 员工旅游、 节日福利、 零食下午茶、 年终奖
java研发工程师,石家庄·石家庄·建华,10-12K,千和电子商务公司,电子商务,20-99人,未融资,5-10年,本科,生日福利、 团建聚餐、 全勤奖、 包吃、 带薪年假、 工龄奖、 节假日加班费、 年终奖
项目经理,石家庄·石家庄·省博物馆,5-10K,中企维瑞,培训机构,0-20人,B轮,3-5年,本科,交通补助、 加班补助、 员工旅游、 五险一金、 零食下午茶、 年终奖、 住房补贴、 餐补、 包吃
ETL工程师,石家庄·石家庄·平安南大街,5-10K,石云网络,计算机软件,0-20人,未融资,1-3年,大专,
his实施工程师,石家庄·石家庄·红楼,7-12K·13薪,智业软件,医疗健康,1000-9999人,不需要融资,3-5年,大专,节日福利、 定期体检、 五险一金、 带薪年假、 年终奖
钉钉实施服务工程师,石家庄·石家庄·太和电子城,5-10K,鑫蜂维,企业服务,500-999人,不需要融资,3-5年,本科,年终奖、 零食下午茶、 员工旅游、 节日福利、 带薪年假、 五险一金
plc电气工程师,石家庄·石家庄·西兆通,7-12K,思域自动化有限公司,仪器仪表/工业自动化,100-499人,未融资,3-5年,大专,年终奖、 员工旅游、 五险一金
ios工程师,石家庄·石家庄·长安公园,7-12K,阳光之美,在线教育,100-499人,不需要融资,1-3年,本科,员工旅游、 全勤奖、 带薪年假、 加班补助、 节日福利、 五险一金
高级java开发工程师,石家庄·石家庄·新火车站,8-13K,易麦,移动互联网,0-20人,未融资,3-5年,大专,五险一金、 加班补助、 全勤奖、 年终奖、 零食下午茶
.NET开发工程师,石家庄·石家庄·维明,5-10K,亿网科技,计算机硬件,20-99人,,1-3年,大专,餐补
售后工程师,石家庄·石家庄·开发区,3-6K,圣楠环保,环保,20-99人,不需要融资,经验不限,大专,加班补助、 通讯补贴、 年终奖、 餐补、 节日福利、 零食下午茶、 员工旅游、 全勤奖
项目助理（接待讲解）,石家庄·石家庄·赵佗公园,5-10K,文始征信,互联网金融,20-99人,B轮,经验不限,大专,
电气工程师,石家庄·石家庄·大学城,2-7K,河北博控,仪器仪表/工业自动化,0-20人,未融资,1-3年,大专,年终奖、 交通补助、 通讯补贴、 加班补助
售后安装专员,石家庄·石家庄·南三条乐汇城,5-10K,石家庄亿客,其他服务业,0-20人,不需要融资,3-5年,大专,通讯补贴、 全勤奖、 节日福利、 加班补助、 年终奖
实施工程师-石家庄（L）,石家庄·石家庄·益友百货,5-7K,惠思众,计算机软件,20-99人,不需要融资,1-3年,大专,五险一金、 免费班车、 定期体检、 带薪年假、 年终奖、 节日福利
农配网电力设计,石家庄·石家庄·体育北大街,7-8K,四川金烁电力设计,电力/热力/燃气/水利,20-99人,,1-3年,大专,生日福利、 带薪年假、 保底工资、 团建聚餐、 有无线网、 年终奖、 零食下午茶、 通讯补贴、 意外险
售前工程师,石家庄·石家庄·建华,8-12K,世窗信息,计算机软件,100-499人,未融资,3-5年,本科,五险一金、 餐补、 带薪年假、 法定节假日三薪、 意外险、 股票期权
高级JAVA开发与架构师,石家庄·石家庄·金马,13-16K,河北大信文化集团,广告营销,100-499人,,5-10年,本科,节日福利、 五险一金、 加班补助、 员工旅游、 年终奖、 交通补助、 通讯补贴
